X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
5,0.22,134,670,0.77,0.021718809,0.76036341,304.00,27,2
7,0.03,97,631,0.79,0.053438869,0.472630456,452.00,163,2
7,0.71,23,544,0.71,0.345020723,0.110881331,358.00,101,3
9,0.04,80,508,0.11,0.619429568,0.992225045,464.00,50,3
12,0.48,180,597,0.71,0.504002041,0.014456564,484.00,69,3
11,0.35,193,667,0.48,0.625175904,0.800903174,457.00,95,2
10,0.85,118,670,0.05,0.393223693,0.663148772,384.00,56,4
12,0.57,181,506,0.82,0.946643033,0.024862749,334.00,163,4
11,0.55,166,813,0.46,0.107322159,0.753246376,359.00,193,5
9,0.56,176,725,0.14,0.982306414,0.024432576,323.00,183,2
5,0.57,99,722,0.37,0.610704598,0.954613126,441.00,156,3
11,0.24,30,577,0.64,0.763258549,0.501764801,331.00,102,4
11,0.44,97,814,0.20,0.740394046,0.170670434,351.00,159,3
11,0.24,111,838,0.67,0.77561646,0.420321596,433.00,171,4
12,0.94,184,786,0.36,0.908513308,0.652898242,389.00,51,4
5,0.07,159,512,0.46,0.290864813,0.326670698,449.00,18,3
10,0.93,166,833,0.82,0.045026071,0.135687643,485.00,63,3
11,0.55,79,616,0.00,0.156773345,0.903709853,423.00,158,2
9,0.49,4,755,0.06,0.331669665,0.084979259,306.00,21,4
8,0.39,20,705,0.66,0.293261734,0.924526586,345.00,109,4
6,0.47,112,672,0.89,0.037200323,0.605643607,369.00,16,5
8,0.61,170,571,0.87,0.347384219,0.198724394,314.00,20,2
12,0.32,59,843,1.00,0.972181964,0.336431378,356.00,106,2
9,0.27,39,531,0.66,0.921418305,0.568465024,346.00,116,4
9,0.75,183,620,0.00,0.613518225,0.209081646,479.00,148,3
10,0.92,12,825,0.25,0.962995193,0.477878344,498.00,163,3
11,0.58,123,590,0.12,0.884380475,0.829616315,365.00,185,3
8,0.25,152,588,0.73,0.097016959,0.666168827,426.00,173,4
9,0.06,52,707,0.72,0.413256743,0.94266724,474.00,20,2
11,0.29,129,709,0.66,0.020105165,0.27301228,319.00,57,2
11,0.69,100,796,0.30,0.931867259,0.56802551,362.00,129,4
10,0.42,105,547,0.18,0.225996343,0.786473268,475.00,180,3
11,0.45,82,697,0.32,0.153002206,0.237063728,452.00,160,5
10,0.86,189,849,0.37,0.09055068,0.641180804,437.00,113,3
12,0.67,80,559,0.46,0.217730247,0.351509566,366.00,108,4
12,0.59,43,786,0.58,0.225101266,0.099876703,422.00,4,2
10,0.69,96,883,0.59,0.922876951,0.921613976,436.00,94,2
8,0.13,150,671,0.33,0.852950618,0.858796629,324.00,123,3
7,0.95,44,606,0.41,0.191044519,0.707220937,305.00,26,4
8,0.14,105,533,0.08,0.877238806,0.380398003,446.00,134,6
